,ProductId,UserId,Score
441,B000G6RYNE,A35JPD8Q492FJC,5
443,B000G6RYNE,AYB4ELCS5AM8P,5
444,B000G6RYNE,A2GOE7ITDGYVE,5
446,B000G6RYNE,A3PZ4AXTY9J1DZ,4
448,B000G6RYNE,A1H80WDFOR94Q5,5
451,B000G6RYNE,A2MUGFV2TDQ47K,3
460,B000G6RYNE,A2ZEFDVX4X5TPX,4
462,B000G6RYNE,A3RMGIKUWGPZOK,5
464,B000G6RYNE,A56JFSLUCHI4J,5
465,B000G6RYNE,A1DW1FK1H3F2TM,5
466,B000G6RYNE,A3PJZ8TU8FDQ1K,5
467,B000G6RYNE,A3PJZ8TU8FDQ1K,5
470,B000G6RYNE,A17UR3NRLARXCH,4
471,B000G6RYNE,A31N6KB160O508,4
473,B000G6RYNE,A3MLESXA2VGWJC,4
474,B000G6RYNE,A3UCO7B9HP42BG,5
479,B000G6RYNE,A1RRHET1QIP1YK,5
483,B000G6RYNE,AOHRHPJP38LLT,2
485,B000G6RYNE,A31N6KB160O508,4
486,B000G6RYNE,A31N6KB160O508,4
487,B000G6RYNE,A1WQ3UGXPT15VI,2
488,B000G6RYNE,A1B05INWIDZ74O,3
489,B000G6RYNE,A1B05INWIDZ74O,5
491,B000G6RYNE,A2OAYIM13WIXCH,5
503,B000G6RYNE,A2OEUROGZDTXUJ,4
504,B000G6RYNE,A30H2335OM7RD6,5
507,B000G6RYNE,A39Y59C6FTC0GL,2
510,B000G6RYNE,A2ZCD6KO2YY9IZ,5
511,B000G6RYNE,A2C18CH1YC6BYT,4
512,B000G6RYNE,A2M8JQ3AME7878,3
513,B000G6RYNE,A3B6TOEXSQVO24,5
516,B000G6RYNE,A38KP1POQ191WT,1
519,B000G6RYNE,A4NDPXCYKRCY2,2
521,B000G6RYNE,AYBYYDVV5ABJE,3
522,B000G6RYNE,A3MFU0GVZUVH3K,5
524,B000G6RYNE,ACYR6O588USK,5
526,B000G6RYNE,A1MFG9E45RX5OW,5
529,B000G6RYNE,AY1EF0GOH80EK,5
530,B000G6RYNE,AWLK6NSSV0YNA,5
534,B000G6RYNE,A3CN9CCJUNIPKT,3
539,B000G6RYNE,A2A1XYSB692L6J,5
540,B000G6RYNE,A3RMGIKUWGPZOK,3
541,B000G6RYNE,A2TN9C5E4A0I3F,1
543,B000G6RYNE,A3GJQ3W0T0KWEO,1
550,B000G6RYNE,A3ARC3UIY3Z1KQ,1
551,B000G6RYNE,A2B5OI74EHGVH1,1
555,B000G6RYNE,A3D7FUBG14QWKX,1
556,B000G6RYNE,APA1GLNHF6K9H,1
562,B000G6RYNE,AR7TAEEUDHMUB,1
565,B000G6RYNE,ADS5APY1NKTL4,5
569,B000G6RYNE,AG7EF0SVBQOUX,5
571,B000G6RYNE,A3RMGIKUWGPZOK,5
574,B000G6RYNE,A3PJZ8TU8FDQ1K,5
577,B000G6RYNE,A1Q7A78VSQ5GQ4,5
580,B000G6RYNE,A2A8KWCE8RKB9T,4
586,B000G6RYNE,A3PSJEB2O37G8U,5
587,B000G6RYNE,A2OEUROGZDTXUJ,5
589,B000G6RYNE,A2NO1TXXS9T0EE,5
590,B000G6RYNE,A2II09GQGWOMTQ,5
591,B000G6RYNE,AQQLWCMRNDFGI,4
592,B000G6RYNE,A24ZV048V7J0MT,5
600,B000G6RYNE,A3RMGIKUWGPZOK,5
602,B000G6RYNE,A3PJZ8TU8FDQ1K,5
603,B000G6RYNE,A3PJZ8TU8FDQ1K,5
607,B000G6RYNE,AX668BUQRHI7C,4
610,B000G6RYNE,A2YKWYC3WQJX5J,5
612,B000G6RYNE,AKMEY1BSHSDG7,5
615,B000G6RYNE,A37D5847LN3WQ,4
616,B000G6RYNE,A1GV4HEM6XZC06,5
619,B000G6RYNE,A3E9OJWHMXMYYF,5
622,B000G6RYNE,ADS5APY1NKTL4,5
623,B000G6RYNE,AKGQ6RM68SQY1,1
624,B000G6RYNE,A3TA1UJWRJF9NC,4
625,B000G6RYNE,A3M174IC0VXOS2,5
626,B000G6RYNE,A2FVD05Z2FYW1P,4
627,B000G6RYNE,A3M2VGWFJGRUOH,5
632,B000G6RYNE,A2OL5WLCNZVD9K,3
649,B001EPPCNK,AY1EF0GOH80EK,4
651,B002U56JXU,AR1T36GLLAFFX,5
652,B002U56JXU,A6GMEO3VRY51S,5
664,B002BCD2OG,AAZ084UMH8VZ2,5
684,B000G6MBX2,A3UCO7B9HP42BG,5
686,B000G6MBX2,A1WX42M589VAMQ,5
689,B000G6MBX2,A1ZH9LWMX5UCFJ,5
707,B000G6MBX2,A2ZCD6KO2YY9IZ,5
715,B000G6MBX2,A228P3VH7SFBHG,2
716,B000G6MBX2,A1AQ2W2R4SOVGN,1
717,B000G6MBX2,A3NCTCNAUYCH6H,3
737,B001HTKZ5S,A3KJ6JZ8MWERPG,1
746,B001LO4ZWI,A2M687HYOW9JFW,1
747,B000QWXG9O,ANUUF3N6B9NTA,3
760,B006JWQFC0,A2C9XE9I8RSKNX,5
776,B001FKQQDO,A2TN9C5E4A0I3F,3
782,B0018DQFPC,A36MP37DITBU6F,4
787,B0018DQFPC,AAX6FRNBEU9PK,4
807,B0030C9A60,A3BH49ZKESHDID,5
813,B004ET7MG8,A3OXHLG6DIBRW8,2
844,B000UWSQT0,AHYRTWABDAG1H,5
865,B000VKYKTG,A1WX42M589VAMQ,5
873,B000HDMUQ2,A2E3WMF9RWW2X2,5
881,B000HDMUQ2,A1Y1L56592H2ZX,4
895,B001ELL9XG,A2W9I628I6SE1U,4
899,B000ER6YO0,A3NHUQ33CFH3VM,3
900,B000ER6YO0,A3NHUQ33CFH3VM,4
901,B000ER6YO0,A3NHUQ33CFH3VM,3
902,B000ER6YO0,A6LAMY7Z10BBJ,4
903,B000ER6YO0,A3NHUQ33CFH3VM,3
915,B000ER6YO0,AH5GCNH82ZU0C,3
922,B000ER6YO0,A3SFS8R1T6JJM9,3
927,B000ER6YO0,A2NQKBC54RAZL5,4
928,B000ER6YO0,A2NQKBC54RAZL5,5
933,B000ER6YO0,A3NXCL9NJTL3TF,5
934,B000ER6YO0,ATIHDHZYNQ0EI,5
936,B000ER6YO0,A3HI6N7GG4B2SW,5
944,B000ER6YO0,A6LAMY7Z10BBJ,5
945,B000ER6YO0,ATIHDHZYNQ0EI,5
1006,B002XG21MO,A1TQQQAYEDEY6B,5
1007,B006GK4XVA,A3MDETK0D5UAIN,3
1025,B001E6KBSK,A1V1EP514B5H7Y,5
1064,B0017ZBPTW,A1TIVD0Y3KJSCN,5
1076,B0035Q0N0I,A3HPCRD9RX351S,4
1079,B0028PDGQA,A2DHG1HP5MCGMI,5
1082,B003UY9GTE,A2R6RA8FRBS608,5
1095,B0025ULYKI,ACYR6O588USK,5
1096,B0025ULYKI,A2GEZJHBV92EVR,5
1099,B0025ULYKI,A3TD1O4EC26NT2,5
1101,B0025ULYKI,A291HTT117RVS9,1
1112,B0025ULYKI,A2ZEFDVX4X5TPX,3
1119,B0028SWACS,ADLVFFE4VBT8,3
1151,B0017WFN4S,A38O3HBCYKNZ2N,5
1170,B001HTI226,A2OWR5G2OAQF7C,5
1179,B00283V4GQ,AJGU56YG8G1DQ,5
1207,B005O072PC,A16O0S1QROXGJM,4
1229,B005O072PC,A14L15JM990MBP,5
1246,B001FA1L7K,A204906HLJ443E,5
1248,B001FA1L7K,A2HLL8L5QELLLO,5
1257,B001FA1L7A,A1DJ9FOEOA0WF1,5
1310,B000FAMUO4,A2WVF9ZQ068DN0,5
1311,B000FAMUO4,A1YUL9PCJR3JTY,5
1361,B005151BV6,A1HOXKR7OKJ1X1,5
1367,B0013JQON4,AYGJ96W5KQMUJ,5
1380,B00068PCTU,A281NPSIMI1C2R,5
1433,B0025VPBQ0,ARD5NJPT3E59,1
1439,B001E50UEQ,A22Z9R91N8L7IQ,3
1440,B001E50UEQ,A3IYSIAKYOMKTO,3
1443,B001E50UEQ,A2RL1RS6PWUHWI,3
1446,B001E50UEQ,AAUICTIUBVU7R,3
1456,B006ZLAH4M,A8P8KPVXCWV9R,4
1460,B0040WHJQM,A3NID9D9WMIV01,5
1465,B0040WHJQM,A2TPH171QFO6ZH,5
1469,B0040WHJQM,ANYAQ3TVKP69E,3
1490,B0004MUZKO,ATDE9JYCPI0L1,5
1505,B003UIDAHY,A3UCN2RGY7O6S1,5
1528,B0045TDE4Q,AZV26LP92E6WU,5
1535,B000E7WM0K,A2DYW9Y2D8E43L,3
1543,B000E7WM0K,A3BSTFFIKK5YTW,3
1553,B000E7WM0K,A2PNOU7NXB1JE4,3
1556,B000E7WM0U,A35HOUWHAYZZN6,5
1558,B000E7WM0U,A1WOMXOEX90ARI,4
1560,B000E7WM0U,AH6BI8F3EE6K1,5
1572,B001CWZXIY,A2MUGFV2TDQ47K,5
1577,B001CWZXIY,A7C7QG6O3ZHXD,2
1587,B001CWZXIY,A39JF4NO5TYNNI,5
1609,B001RVFDOO,A3PD8JD9L4WEII,4
1651,B001RVFDOO,A39ILC0QR4E09L,4
1663,B001RVFDOO,A2DG1NQM08X1EI,4
1709,B001RVFDOO,AD2QRU9ZXBQZ1,2
1736,B001RVFDOO,A2YMCPP3KW9IXU,5
1752,B001RVFDOO,A1I85Y08VRZ32Q,5
1754,B001RVFDOO,A2I5QH4F5FDKK5,5
1791,B001RVFDOO,A1D0N7I6OHX3WU,1
1798,B001RVFDOO,A132ETQPMHQ585,2
1814,B001RVFDOO,A1F7YU6O5RU432,3
1815,B001RVFDOO,A2RL1RS6PWUHWI,2
1830,B001RVFDOO,A25B9A3NZR8EVG,4
1851,B001RVFDOO,AQLL2R1PPR46X,5
1853,B001RVFDOO,A3A1OA237FOZFK,5
1856,B001RVFDOO,A306153FTKS9PL,5
1861,B001RVFDOO,A2QDOJFFLFGF18,3
1871,B001RVFDOO,A1ANPMPOYVPMSB,3
1887,B001RVFDOO,AHRNDSKWH1YBT,4
1892,B001RVFDOO,A19123D9G66E0O,3
1895,B001RVFDOO,A1RJUXDK64O91A,3
1934,B000F4EU52,A2PNOU7NXB1JE4,1
1938,B000F4EU52,A36WGHR8TO5DKT,5
1962,B001FQ0UEE,A1NBK07JEBCFI,5
1983,B003FA0M1O,A3OXRFCJI67IMN,5
1996,B001E5E29A,A35W3JQYP0M655,5
2018,B001E5E29A,A3IUW081KXD3PE,5
2094,B003NRLKOM,A2C8O554YMY2ZL,4
2104,B000EPP56U,A3MDETK0D5UAIN,5
2120,B000EGX2E6,A1K4AIPL0NFAGF,3
2126,B004ET9OIW,A219WUOP4BNUX1,5
2132,B004ET9OIW,A18EXBM5U6KSQB,5
2139,B001HTG9VW,AXJ1QYBUL86ON,5
2187,B000EPP56K,A2DYW9Y2D8E43L,2
2196,B008YAXFWI,AY12DBB0U420B,4
2203,B000LRKO9E,A2D1LPEUCTNT8X,5
2218,B002C4HZ00,A2DYMDOAJURO5F,5
2228,B002C4HZ00,A1DJ9FOEOA0WF1,1
2251,B000ARTNR4,A3NHUQ33CFH3VM,2
2262,B000E1HVF2,A3ENN12GLNTUAF,5
2265,B000E1HVF2,A1K82R24ROO2I7,5
2296,B004NC7IFQ,A3S15YGZ6W6EV2,5
2303,B0002Z9BF8,A383XURHVF8ON6,5
2307,B0002Z9BF8,A29JUMRL1US6YP,5
2328,B000E5C1YE,A1IL6W1NK05UW9,4
2355,B004VLVK4E,A3UF4K552BJ1VC,5
2369,B001LQTDBE,A2KQT4D0OZR569,4
2377,B00196U7OI,A2XNJJ9TF70P4J,4
2381,B0089SPDUW,AQQLWCMRNDFGI,5
2385,B0089SPDUW,A3O1I3KB7L1R9S,5
2388,B0089SPDUW,A3AZI828WJN1CD,5
2392,B0089SPDUW,A26NFIQ7KWI8Y7,4
2401,B0089SPDUW,A2TJG4N8LNJW23,4
2449,B002JX7GVM,AHRNDSKWH1YBT,5
2462,B002JX7GVM,A2E2PA6UNK1E05,5
2465,B002JX7GVM,A35X2JJI49OBZP,5
2480,B002JX7GVM,A1B4MIXYVIKMU2,2
2482,B002JX7GVM,A2HTPS0JV3Q8ZD,2
2483,B002JX7GVM,AS6SH2JM2YY3H,2
2502,B0004MZVIA,A2R6RA8FRBS608,5
2513,B0079LSXQ6,ANEDXRFDZDL18,5
2532,B000G7UDPY,A36MP37DITBU6F,5
2544,B000G7UDPY,A2PNOU7NXB1JE4,3
2545,B000ED9LDU,A1IU7S4HCK1XK0,5
2546,B000ED9LDU,AEWYUPCNDV7HY,5
2570,B000ED9LDU,AXO4PQU0XG3TG,4
2594,B000EGX2EG,A2V0I904FH7ABY,1
2610,B0016FY6H6,A3HPZ6BIMNXSZR,4
2611,B0016FY6H6,A1CBNUBPZPWH5D,5
2612,B0016FY6H6,A281NPSIMI1C2R,5
2613,B0016FY6H6,A3I4PCBRENJNG2,4
2630,B0016FY6H6,A2NLZ3M0OJV9NX,2
2633,B0016FY6H6,A351W0BCYYUGYW,5
2634,B0016FY6H6,A1CBNUBPZPWH5D,5
2636,B0016FY6H6,A2NLZ3M0OJV9NX,2
2639,B0016FY6H6,A3J171NBGIBYAW,2
2646,B0016FY6H6,A2NLZ3M0OJV9NX,2
2647,B0016FY6H6,A2NLZ3M0OJV9NX,2
2653,B0016FY6H6,A3I4PCBRENJNG2,4
2667,B0016FY6H6,A1CBNUBPZPWH5D,4
2681,B0016FY6H6,A1ONZ8JRPLBNUI,2
2735,B003NDA970,AAUICTIUBVU7R,5
2750,B003NDA970,A1UP81S8OCJASL,5
2753,B003NDA970,A1UP81S8OCJASL,5
2777,B000J2DQ46,A39EW9DLVX70B9,2
2797,B000J2DQ46,AVFA1JB08RG8G,5
2798,B000J2DQ46,A2XNJJ9TF70P4J,3
2801,B000J2DQ46,A3KUC5K5VSJNU9,5
2805,B00408CX8A,A3POAWC2JPQQQP,4
2806,B000MBO4LI,AKZKG2Z7CNV27,2
2846,B0085G4ACA,AR7TAEEUDHMUB,5
2847,B0085G4ACA,A291HTT117RVS9,4
2848,B0085G4ACA,A1Z3XWG2W5GOHP,5
2857,B0085G4ACA,A2YHXAZLCLDT8D,5
2874,B007OXJLM4,A26NFIQ7KWI8Y7,4
2883,B007OXJLM4,A1VGXHHR08G044,4
2888,B000F9Z1WI,A3M8R4JD1SIS76,5
2889,B000F9Z1WI,A2HQ8RTAJYEUJO,3
2892,B000F9Z1WI,A2R6RA8FRBS608,5
2893,B000F9Z1WI,A2YB7DLC3FOR7W,5
2894,B000F9Z1WI,A3DOPYDOS49I3T,4
2896,B000F9Z1WI,A2AOZQ3WTNVVOK,4
2901,B000F9Z1WI,A26HFSVLAGULIM,4
2902,B000F9Z1WI,A13E0ARAXI6KJW,4
2903,B000F9Z1WI,A3RM5FW3BOEDOG,5
2910,B000F9Z1WI,A2II54B3VA45LN,4
2920,B000F9Z1WI,AHQ13I9CI4US6,5
2922,B000F9Z1WI,A13E0ARAXI6KJW,4
2925,B000F9Z1WI,ATDE9JYCPI0L1,3
2926,B000F9Z1WI,A3M174IC0VXOS2,5
2929,B000F9Z1WI,A2RKZ839WIWVHL,1
2930,B000F9Z1WI,A2RKZ839WIWVHL,1
2940,B0002TJAZK,A2VUD4SPJO4V33,1
2941,B0002TJAZK,A3TVZM3ZIXG8YW,1
2944,B0002TJAZK,A3BLP7LRNCAT2Y,2
2947,B0002TJAZK,A3TVZM3ZIXG8YW,1
2956,B000HKJNKQ,A2HKU4SOT0CWG9,1
2981,B000LKU03G,A3RR2P5IS3DGPR,4
2989,B0011X5S8Y,A1YUL9PCJR3JTY,4
3010,B000HNE1IM,A2Y695A1DXMT1J,3
3012,B000VDNGIO,A2W9I628I6SE1U,4
3016,B0025UALB6,AY12DBB0U420B,4
3017,B0025UALB6,AJD41FBJD9010,5
3020,B001FA1KUS,A3BSVEVBV9RZS2,5
3026,B000B9SFP2,A2OL5WLCNZVD9K,5
3028,B000B9SFP2,A199FRO0YFMGED,5
3034,B0052OI128,A2R6RA8FRBS608,5
3038,B0052OI128,A1J52MX2YDWSU0,5
3047,B004NNFEA6,AMRMK86X3PKXD,5
3051,B0000E65W9,A1GYEGLX3P2Y7P,5
3073,B000FDKQCO,A21Z0377YERLCH,5
3094,B001IZIC7E,A2C9XE9I8RSKNX,5
3102,B001IZIC7E,A348IT6M7H8A67,3
3114,B004JQVASM,AG6JWI77UMETS,5
3119,B004JQVASM,A2MSQNPTNAAGL1,4
3126,B000FDKQCY,A34U4Y40W1GW9I,5
3133,B000FDKQCY,A130VGG4P4PW5J,5
3140,B000FDKQCY,A31N6KB160O508,5
3149,B000FDKQCY,A1YLOZQKBX3J1S,3
3153,B003OZYUEA,AR7TAEEUDHMUB,5
3167,B003OZYUEA,A321W4SSC0F6AP,3
3186,B000FDKUSO,A18GKCC69KPR51,5
3204,B005K4Q1VI,A1BJHZE41QWBX6,5
3225,B005K4Q1VI,A2DPQ82V9HI4TJ,5
3233,B005K4Q1VI,AB094YABX21WQ,5
3259,B005K4Q1VI,AKJHHD5VEH7VG,3
3278,B005K4Q1VI,A1ROUMJOGO4QMB,1
3290,B005K4Q1VI,AGFV9F4CI93S3,5
3294,B005K4Q1VI,A3LXOMANBRFQJG,2
3305,B005K4Q1VI,A1J75JJ0Q2OEJN,3
3306,B005K4Q1VI,A3OXHLG6DIBRW8,5
3309,B005K4Q1VI,A2GR7SRMJ54RG7,5
3319,B005K4Q1VI,A15T9G38F589KM,4
3325,B005K4Q1VI,ALD467ZEFBPDF,4
3398,B005K4Q1VI,A1Q3VZH3TP8DFN,5
3404,B005K4Q1VI,A13T0V3LHOTHDL,4
3416,B005K4Q1VI,A3OXHLG6DIBRW8,5
3456,B005K4Q1VI,A35R32TA60XD57,1
3462,B005K4Q1VI,ARAKTT5M3DDYA,5
3477,B005K4Q1VI,A2YHXAZLCLDT8D,5
3488,B005K4Q1VI,ALD467ZEFBPDF,5
3511,B005K4Q1VI,A1SPFZ5BOIMIXR,4
3528,B005TY2REE,AY12DBB0U420B,4
3535,B000YPKODY,ABDCYK04CL6O4,3
3547,B005ZHJI9C,AS1FCKNKY95ID,5
3548,B005ZHJI9C,A1I34N9LFOSCX7,5
3553,B00469LSMU,AZV26LP92E6WU,5
3559,B000GDAVXW,A3F3B1JPACN215,4
3564,B0040PWYVO,A6KL17KKN0A5L,5
3572,B0014DZQMO,AAUICTIUBVU7R,5
3577,B0044UT0O4,A1HOXKR7OKJ1X1,5
3585,B004X8TK9W,ABDCYK04CL6O4,5
3586,B004X8TK9W,A3L9ZT7SRJYLVH,5
3587,B004X8TK9W,A1Z54EM24Y40LL,5
3627,B0009P82YM,A2EDWI5EGP4V9N,5
3629,B000CS9ZTC,AXO4PQU0XG3TG,2
3681,B000G33MVK,AZV26LP92E6WU,5
3682,B000G33MVK,A2LZKUARB5Y8C2,5
3698,B000ER1DIM,A18GKCC69KPR51,2
3710,B0045IK1CK,A35OY2ASP1MP5M,3
3715,B0045IK1CK,A21CZIJ7LXR1A1,4
3723,B0045IK1CK,A13T0V3LHOTHDL,5
3728,B004SFNFEG,A3SIZC600PA0AW,5
3738,B00016UX0K,A22Z9R91N8L7IQ,5
3740,B00016UX0K,A21VGNU5959O85,5
3745,B00016UX0K,A13WOT3RSXKRD5,5
3751,B00016UX0K,A2PR6NXG0PA3KY,5
3772,B00016UX0K,A31LEVBRCI0BQX,5
3809,B000X2CWTM,A1MUQUK1M4UK16,5
3813,B000X2CWTM,A1RRHET1QIP1YK,5
3825,B000X2CWTM,A1ZPY91VE3IDN1,5
3826,B000X2CWTM,AY12DBB0U420B,5
3834,B000X2CWTM,A3PJSAXKHJLS1E,5
3838,B000X2CWTM,A2MSQNPTNAAGL1,3
3844,B002979DP0,A2LXX47A0KMJVX,5
3859,B001M074MY,A1ZZZT0KJR46UV,5
3880,B003159ETE,A2YMCPP3KW9IXU,5
3885,B005GX7GVW,AS1FCKNKY95ID,5
3886,B005GX7GVW,A1I34N9LFOSCX7,5
3891,B003SO2CV0,A3977OZLNA8LCB,5
3923,B000F9BCQ2,A26A64X86VL1R4,4
3926,B000VSDFRG,A3OXHLG6DIBRW8,5
3949,B002YSA1PU,A33PLZ7SD5MCG0,5
3962,B005HO0ARM,A3B1360JOYS0GJ,5
3983,B0005ZHWXI,A26HFSVLAGULIM,2
3987,B0044YQFDE,A3R4794K2RVU1S,5
3989,B0044YQFDE,A2OH0YZ2XEQA63,5
3990,B00110FN28,A31N6KB160O508,5
3994,B00110FN28,A2WS6FMF750EI9,2
3996,B00110FN28,A3NEAETOSXDBOM,5
3997,B00110FN28,A1O229NVVDJUX2,4
4001,B00110FN28,A250AXLRBVYKB4,5
4005,B00110FN28,A22Z9R91N8L7IQ,5
4015,B000UZVPKO,AQXJM6TILVEDY,5
4019,B000UZVPKO,A9GIGJUB98JNR,5
4023,B000UZVPKO,A29313797NGT9L,4
4197,B004391DK0,A33AQPJYH7UUXR,4
4235,B004391DK0,A1YJMG0QJXZLD4,5
4321,B004391DK0,A2VBL3JMMB282U,4
4367,B004391DK0,A23X9QV9XPU9MG,5
4394,B0001217OA,A3F3B1JPACN215,5
4407,B0025VQGHS,A2GHU8I0P3HFRW,5
4413,B003SWCZG4,A1GQAKL9CGQLP1,5
4415,B000E5AO8O,AKMEY1BSHSDG7,5
4428,B000E5AO8O,A2JBZHQVQF7MV0,5
4441,B0000GGI00,A2VBTN6ZR67YOF,5
4451,B002YZESWU,A35A5S6H1WROO6,5
4453,B002YZESWU,A2BLJGGWN8GTXQ,5
4492,B002TMV3E4,A1DC1O4VX6AHPP,5
4493,B002TMV3E4,AN81JUYW2SL24,3
4494,B002TMV3E4,A281NPSIMI1C2R,5
4495,B002TMV3E4,A3FHSLWEMH7JD8,5
4496,B002TMV3E4,ABC68JUCPTVOE,4
4498,B002TMV3E4,ALSAOZ1V546VT,5
4499,B002TMV3E4,A1UQBFCERIP7VJ,4
4500,B002TMV3E4,A3D1TZH619NKHN,3
4501,B002TMV3E4,A6KL17KKN0A5L,3
4505,B002TMV3E4,A224KM22RQ5CD4,3
4506,B002TMV3E4,A1AEPMPA12GUJ7,4
4510,B002TMV3E4,A37D5847LN3WQ,4
4511,B002TMV3E4,A3H7NPNDMGLOU4,5
4513,B002TMV3E4,A2H2I5FY1PUHP1,5
4514,B002TMV3E4,A1H7Y5XKPGT0OS,3
4516,B002TMV3E4,A1JAPP1CXRG57A,4
4517,B002TMV3E4,A1XJOSJN6FHFO0,5
4523,B002TMV3E4,A1BTG38XSGYLW3,3
4527,B002TMV3E4,AYNAH993VDECT,4
4529,B002TMV3E4,A2UQIQUOAB47OT,5
4530,B002TMV3E4,ATLO3YXU2BC16,5
4531,B002TMV3E4,ADY836HK6QSYR,4
4533,B002TMV3E4,A10ZBR6O8S8OCY,4
4537,B002TMV3E4,A3UKWQS8SRW6IO,3
4539,B002TMV3E4,A2W4014S06NAIT,4
4540,B002TMV3E4,A2VAD79S4A06DD,5
4541,B002TMV3E4,AKCZIJ6ZHE41D,4
4544,B002TMV3E4,A1X2LENOF84LCQ,3
4545,B002TMV3E4,AK8LOFYRZJJW0,3
4547,B002TMV3E4,AJBF0L0KVJG8J,4
4549,B002TMV3E4,A3A15L96IYUO6V,4
4551,B002TMV3E4,A3CG6YLYZJXQG4,4
4552,B002TMV3E4,AHIK7BUXFRMT8,5
4555,B002TMV3E4,A25C2M3QF9G7OQ,5
4556,B002TMV3E4,A2NMQWBDWT3SQF,4
4560,B002TMV3E4,A3W4D8XOGLWUN5,4
4561,B002TMV3E4,A2TXMYYGSZCSZ1,5
4564,B002TMV3E4,A235UFZGCFN3J5,5
4568,B002TMV3E4,A2FRFAQCWZJT3Q,5
4569,B002TMV3E4,A2OWR5G2OAQF7C,4
4570,B002TMV3E4,A3ULJE7UMUGSXR,3
4574,B002TMV3E4,A3C40PJ9YXREQ5,3
4580,B002TMV3E4,A16YU3GRGCD95S,5
4584,B002TMV3E4,AF3BYMPWKWO8F,2
4595,B0013ENGXK,A1ZK5P0EOE727F,4
4614,B0075WWDKQ,A1IW9LSLZFW9FK,4
4667,B000FBM4FI,AMRMK86X3PKXD,5
4673,B000FBM4FI,A10AFVU66A79Y1,5
4684,B001GBBQU0,AS1FCKNKY95ID,4
4689,B000N5Z5RU,A27O5ZUFAEWT9L,5
4721,B00139TT72,A132ETQPMHQ585,2
4724,B00139TT72,A33PVCHCQ2BTN0,5
4727,B00139TT72,AODWFJHMNL0FG,5
4730,B00139TT72,A234HXDATOAYEY,3
4735,B00139TT72,A1S7LST1G51C3,4
4767,B00139TT72,A39H1WPTI8EPUA,1
4770,B00139TT72,A1N4NAIHZF4J7X,1
4771,B00139TT72,A2EZW502SEA2N9,5
4772,B00139TT72,A2KWAK0GAA8IBW,5
4775,B00139TT72,A2KWAK0GAA8IBW,4
4794,B00139TT72,A2EZW502SEA2N9,5
4810,B00139TT72,A1UN5Q1FKH1ZT7,3
4813,B00139TT72,A1NJXFN4V5AUOL,5
4814,B00139TT72,A3MZNRSDQ32UUH,5
4838,B00139TT72,A2MUGFV2TDQ47K,5
4843,B00139TT72,A2EZW502SEA2N9,5
4866,B002FVQX3A,AR7TAEEUDHMUB,5
4869,B007HDSPVO,A1GQAKL9CGQLP1,5
4889,B000QSONJA,AKZKG2Z7CNV27,1
4928,B000FYYOZI,A1TMAVN4CEM8U8,3
4929,B000FYYOZI,A1TMAVN4CEM8U8,5
4947,B000FYYOZI,A2NI95Y8UNE85D,5
